Can you show a performance graph that demonstrates the consistency protocol?,,,,,,,,,Note: We should observe All Runs taking the same amount of time,,,,,,,,,,,,,,,,,,,,,,,,
"Total Iterations (for median, min, max, avg): 100",,,,,,,,,"File sizes: 64B, 4KB, 256KB, 16MB, 1GB",,,,,,,,,,,,,,,,,,,,,,,,
Test script: runs command cat fileA; touch fileA on server -- echo by another client (aka our bash script) (Measure only cat),,,,,,,,,log v2 for all tests,,,,,,,,,,,,,,,,,,,,,,,,
SIZE 64B,,,,,,,SIZE 4KB,,,,,,,SIZE 256KB,,,,,,,SIZE 16MB,,,,,,,SIZE 1GB,,,,,
Time for: command,,,,,,,Time for: command,,,,,,,Time for: command,,,,,,,Time for: command,,,,,,,Time for: command,,,,,
SYSTEM/RUN,TOTAL,,,,,,SYSTEM/RUN,TOTAL,,,,,,SYSTEM/RUN,TOTAL,,,,,,SYSTEM/RUN,TOTAL,,,,,,SYSTEM/RUN,TOTAL,,,,
BASIC,0.005029s,,,,,,BASIC,0.006090s,,,,,,BASIC,0.007374s,,,,,,BASIC,N/A,N/A,N/A,N/A,N/A,,BASIC,N/A,N/A,N/A,N/A,N/A
PERFORMANT,0.005197s,,,,,,PERFORMANT,0.006906s,,,,,,PERFORMANT,0.008235s,,,,,,PERFORMANT,,,,,,,PERFORMANT,2.4s,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Basic,PERF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,64B,0.005029,0.005197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4KB,0.00609,0.006906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,256KB,0.007374,0.008235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16MB,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1GB,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
